iter	Logloss
0	0.6819164342
1	0.6694190848
2	0.6526368583
3	0.6397341657
4	0.6291391602
5	0.6187171456
6	0.6083879046
7	0.5993287528
8	0.5889845145
9	0.5812572545
10	0.5716884766
11	0.5623952985
12	0.5538108259
13	0.5438001535
14	0.5342084263
15	0.5239086914
16	0.5158797433
17	0.5082698103
18	0.4985799386
19	0.4907027065
20	0.4823408203
21	0.4728181152
22	0.4653611886
23	0.456984375
24	0.4494902344
25	0.4416643066
26	0.4338721401
27	0.4261065151
28	0.4184731445
29	0.4106775251
30	0.404551409
31	0.3982241908
32	0.3930433175
33	0.3852097517
34	0.3790633719
35	0.3731524135
36	0.3666585519
37	0.3605990862
38	0.3533897879
39	0.348432966
40	0.3413287528
41	0.3369291992
42	0.3321945103
43	0.325527553
44	0.320387486
45	0.3142918527
46	0.3095530134
47	0.3049426618
48	0.3008920201
49	0.2962685547
50	0.2917090541
51	0.2850598493
52	0.2799877407
53	0.275807251
54	0.2708913923
55	0.2659377441
56	0.262517334
57	0.2587450474
58	0.2552087228
59	0.2513538644
60	0.2467035086
61	0.2428640137
62	0.2390412249
63	0.2355211356
64	0.2319164342
65	0.228615897
66	0.2238481794
67	0.2209891706
68	0.2171264648
69	0.2137293876
70	0.210488351
71	0.20764488
72	0.2046032715
73	0.2018895787
74	0.1992303641
75	0.1959827009
76	0.1934067383
77	0.1903732213
78	0.1872014509
79	0.1840232457
80	0.1811980678
81	0.1786925223
82	0.1764622628
83	0.1736324637
84	0.1713092215
85	0.1688578578
86	0.1660630232
87	0.1635014648
88	0.1610421666
89	0.1587873535
90	0.1563988909
91	0.1542847726
92	0.1520484794
93	0.1500873326
94	0.148517613
95	0.1467007185
96	0.1451936907
97	0.1432841274
98	0.1410922154
99	0.139022583
100	0.1370497872
101	0.1350466657
102	0.1332166922
103	0.131455889
104	0.1293825858
105	0.127620963
106	0.1259437256
107	0.1242472098
108	0.1222594604
109	0.1203255441
110	0.118574585
111	0.1173189436
112	0.1158589478
113	0.1143551374
114	0.1129261823
115	0.1112278878
116	0.1100090158
117	0.1086761823
118	0.1074945156
119	0.1058809117
120	0.1043703526
121	0.1030600586
122	0.1015242746
123	0.1002744838
124	0.09894801549
125	0.09772488839
126	0.09656932722
127	0.09534556362
128	0.09438426862
129	0.09323471505
130	0.09193455287
131	0.09102329799
132	0.08982262312
133	0.08871472168
134	0.08769768415
135	0.08670111956
136	0.08569775391
137	0.0846767055
138	0.08368241664
139	0.08283018276
140	0.08188148717
141	0.08070909773
142	0.07977550398
143	0.07881670271
144	0.07784338379
145	0.07700455148
146	0.07609032331
147	0.07513949149
148	0.0743934239
149	0.07339564732
150	0.0725687997
151	0.07179063198
152	0.07103631156
153	0.07017339216
154	0.06928184291
155	0.06870690918
156	0.06798154994
157	0.06718767439
158	0.06648497227
159	0.06565220424
160	0.06477404785
161	0.06413630458
162	0.06334468297
163	0.06259493583
164	0.0619090053
165	0.0612023359
166	0.06061180769
167	0.05994044277
168	0.05938092041
169	0.0587729187
170	0.05799648176
171	0.05747990199
172	0.05700842721
173	0.05641910226
174	0.05589326259
175	0.05530484009
176	0.05463442993
177	0.05402941895
178	0.05359249442
179	0.05295497785
180	0.05236357771
181	0.05192807443
182	0.05127887399
183	0.05072665841
184	0.04995828683
185	0.04951881191
186	0.04892045811
187	0.04835135324
188	0.04781371634
189	0.04725144741
190	0.046809021
191	0.04629484776
192	0.0458989999
193	0.04538663156
194	0.04503575788
195	0.04465678188
196	0.0442170323
197	0.04377807617
198	0.04337798636
199	0.04294437953
200	0.04239555141
201	0.04188189697
202	0.04154490008
203	0.04123581369
204	0.04090411377
205	0.04055000523
206	0.04006127494
207	0.03979763358
208	0.039418893
209	0.03900211007
210	0.03862890625
211	0.0382182966
212	0.03786686489
213	0.03747343227
214	0.03714305769
215	0.03671359689
216	0.03636321804
217	0.03602832685
218	0.03566993059
219	0.03539436122
220	0.03510725403
221	0.03480995178
222	0.03441337803
223	0.03410852923
224	0.03370638384
225	0.03346111189
226	0.03315788923
227	0.03280861119
228	0.03255893598
229	0.03225842503
230	0.03197193255
231	0.03171600778
232	0.03147171892
233	0.03108127267
234	0.03083133589
235	0.03047303554
236	0.03027070618
237	0.03006229946
238	0.02977900914
239	0.02958251953
240	0.0293522862
241	0.02919524275
242	0.02898715646
243	0.02874408831
244	0.02853946359
245	0.02832429286
246	0.02806913757
247	0.02775990077
248	0.02757662528
249	0.02730883353
250	0.02712848118
251	0.0269291687
252	0.02671923828
253	0.02645051357
254	0.02626999773
255	0.02602806745
256	0.02582785252
257	0.02568719046
258	0.0255247236
259	0.02529454912
260	0.02506025696
261	0.02489144244
262	0.02469229344
263	0.02452574376
264	0.02431119428
265	0.02408447048
266	0.02388496617
267	0.02371416146
268	0.02354319109
269	0.02336979457
270	0.02322248622
271	0.02304437256
272	0.02289856393
273	0.02278144618
274	0.02258518764
275	0.02242658779
276	0.02229799979
277	0.02212642561
278	0.02198803711
279	0.02181284659
280	0.02165609305
281	0.02147417777
282	0.02128228324
283	0.02113010733
284	0.02098882621
285	0.02087964303
286	0.02068697684
287	0.02046439035
288	0.02032113211
289	0.02021002197
290	0.02007362584
291	0.01992707607
292	0.01976372419
293	0.0196151995
294	0.01948583548
295	0.01931903512
296	0.01920320565
297	0.01906906128
298	0.01895762416
299	0.01882134574
300	0.0187063991
301	0.0186161499
302	0.01848145403
303	0.01835284642
304	0.01824105617
305	0.01810775757
306	0.01798562513
307	0.01786382948
308	0.01773776027
309	0.01761255319
310	0.01746858106
311	0.01737675258
312	0.01727681841
313	0.01714392308
314	0.01701955087
315	0.01691284398
316	0.01678808703
317	0.01665902274
318	0.01657199533
319	0.01648758153
320	0.01637079729
321	0.01625386483
322	0.01614588492
323	0.01604143197
324	0.01595601327
325	0.01584387861
326	0.01578308214
327	0.01566727121
328	0.01559046282
329	0.01551599993
330	0.01542310006
331	0.01533117022
332	0.01525252206
333	0.01514455959
334	0.01506143406
335	0.01497332764
336	0.01490587289
337	0.01482436262
338	0.01472633144
339	0.01463939122
340	0.01456313978
341	0.0144759794
342	0.01441674587
343	0.01435302516
344	0.0142889328
345	0.01419687326
346	0.01414173562
347	0.01404479218
348	0.01394478498
349	0.01386589486
350	0.01377165222
351	0.01369569288
352	0.01359887913
353	0.01352430943
354	0.01345853315
355	0.01339473615
356	0.01332511684
357	0.01326296779
358	0.0131862248
359	0.01311909485
360	0.01305404336
361	0.01298654502
362	0.01291069903
363	0.01283895874
364	0.01275412423
365	0.01267897252
366	0.01262244306
367	0.01257451739
368	0.01250756182
369	0.01247030422
370	0.01239859336
371	0.01234106445
372	0.01229709298
373	0.01223965018
374	0.01213995797
375	0.01208157131
376	0.01203564889
377	0.01196888624
378	0.01192428262
379	0.01185336086
380	0.01179606083
381	0.01172967093
382	0.01167735726
383	0.01163259125
384	0.01158471026
385	0.01150906917
386	0.01146295275
387	0.01138653019
388	0.01134102958
389	0.01128939383
390	0.01122530365
391	0.01116953932
392	0.01109122576
393	0.0110419366
394	0.01098388018
395	0.01094341387
396	0.01089294216
397	0.01084067426
398	0.01076904733
399	0.01070450701
400	0.01066120584
